,brand,movementDetectionTechnology,wireless,usb,bluetooth,ergonomic,portable,soundless,led_ligths,rechargeable,lightweight,programmable_button,weight,price,priceCategory
0,logitech,optical,False,True,False,False,False,False,False,False,False,False,109.0,269.0,low
1,hp,optical,False,True,False,False,False,False,False,False,False,False,90.0,349.0,low
2,quantum,optical,False,True,False,True,False,True,False,False,False,False,200.0,149.0,low
3,razer,optical,False,False,False,False,False,False,False,False,True,True,60.9,1685.0,high
4,zebronics,optical,True,True,False,False,False,False,False,False,False,False,900.0,139.0,low
5,hp,optical,True,True,False,True,False,False,False,False,True,False,129.0,599.0,low
6,redgear,optical,False,False,False,False,False,False,False,False,True,False,200.0,349.0,low
7,zebronics,optical,True,True,False,False,False,False,False,False,True,False,120.0,399.0,low
8,zebronics,optical,True,True,False,False,False,False,False,False,False,False,50.0,399.0,low
9,hp,optical,True,True,False,True,False,False,False,False,False,False,50.0,449.0,low
10,hp,optical,False,True,False,False,False,False,False,False,False,False,90.0,349.0,low
11,redgear,optical,False,False,False,False,False,False,False,False,False,False,125.0,599.0,low
12,portronics,optical,False,False,False,False,False,False,False,False,False,False,90.0,249.0,low
13,logitech,optical,True,True,False,False,False,False,False,False,False,False,91.0,1295.0,high
14,lenovo,optical,False,True,False,False,False,False,False,False,False,False,150.0,999.0,high
15,zebronics,optical,False,False,False,False,False,False,False,False,False,False,53.0,139.0,low
16,ant esports,optical,False,True,False,True,False,False,False,False,False,False,74.0,299.0,low
17,hp,optical,True,False,False,False,False,False,False,False,False,False,60.0,699.0,high
18,amazon basics,optical,True,True,False,True,False,False,False,False,True,False,115.0,499.0,low
19,portronics,optical,True,True,False,False,False,False,False,False,False,False,80.0,279.0,low
20,dragonwar,laser,False,True,False,True,False,False,False,False,False,False,175.0,399.0,low
21,zebronics,optical,True,True,False,False,False,False,False,False,True,False,50.0,399.0,low
22,logitech,optical,True,True,False,False,False,False,False,False,False,False,91.0,1195.0,high
23,wings,optical,False,True,False,True,False,False,True,False,False,False,150.0,499.0,low
24,logitech g,optical,False,True,False,False,False,False,False,False,True,True,89.0,1495.0,high
25,logitech,optical,True,False,False,False,False,False,False,False,False,False,86.0,799.0,high
26,zebronics,optical,False,True,False,True,False,False,True,False,False,False,170.0,489.0,low
27,hp,optical,True,True,False,True,False,False,False,False,False,False,153.0,1499.0,high
28,entwino,optical,False,True,False,True,False,False,True,False,False,False,150.0,199.0,low
29,portronics,optical,True,True,False,False,False,False,False,True,False,False,60.0,679.0,high
30,lenovo,optical,True,True,False,True,False,False,False,False,False,False,84.0,628.0,high
31,portronics,optical,True,True,False,True,False,True,False,False,False,False,54.0,390.0,low
32,portronics,optical,False,True,False,False,False,False,False,False,False,False,100.0,142.0,low
